FName,LName,Gender,AreaCode,Phone,City,State,Zip,MaritalStatus,HasChild,Salary,Rate,SingleExemp,MarriedExemp,ChildExemp
Hank,Schmaranz,F,304,1003247,GRANTSVILLE,WV,26147,M,N,57000,6.29,0,4000,0
Aimee,Kutylowski,M,985,1003246,TALLULAH,LA,71284,S,Y,10500,2.0,4500,0,1000
Luiza,Eidelson,M,217,1000552,BLACKSTONE,IL,61313,S,Y,100000,3.0,2000,0,2000
Fanlun,Cypher,F,808,1006401,HONOLULU,HI,96815,M,N,67500,8.25,0,2080,0
Jolita,Gerth,F,919,1000838,WINSTON SALEM,NC,27127,M,N,53500,6.854895,0,6600,0
Cedric,Dowden,F,256,1001895,TUSKEGEE,AL,36083,M,N,76000,5.0,0,3000,0
Jongin,Zurfluh,M,785,1000878,ALMENA,KS,67622,S,Y,72500,6.45,2250,0,2250
Yonghoan,Prabhakar,M,970,1003684,DENVER,CO,80237,M,N,35500,4.63,0,0,0
Waheed,Matzen,F,912,1001892,REIDSVILLE,GA,30499,M,N,70500,6.0,0,5400,0
Shailendra,Bast,F,202,1002724,WASHINGTON,DC,20434,M,N,13500,5.2875,0,2740,0
Kshitij,Chu,F,203,1001158,WOODSTOCK VALLEY,CT,6282,S,Y,39000,5.0,12750,0,0
Daniela,Haverkamp,F,754,1000206,ORLANDO,FL,32809,S,Y,96000,0.0,0,0,0
Zhichen,Durin,M,219,1002453,ORLEANS,IN,47452,S,Y,39500,3.4,1000,0,1000
Brett,Bent,M,541,1005725,SALEM,OR,97304,S,Y,91500,9.0,159,0,159
Baoquan,Gershman,F,808,1013761,HONOLULU,HI,96808,M,N,40500,8.25,0,2080,0
Keijiro,Orsini,F,939,1010168,AGUAS BUENAS,PR,703,M,N,3500,0.0,0,0,0
Padima,Farrahi,F,520,1000866,SEDONA,AZ,86339,M,N,88000,4.079,0,4200,0
Krishnamurthy,Govert,F,307,1014622,TEN SLEEP,WY,82442,S,Y,10500,0.0,0,0,0
Karlhorst,Suwunboriruksa,F,808,1007065,LAIE,HI,96762,M,N,41500,8.25,0,2080,0
Dara,Diebold,M,606,1004250,LOUISVILLE,KY,40241,S,Y,84500,6.0,20,0,20
Zahia,Carre,M,515,1002984,BEAMAN,IA,50609,M,N,46000,7.265479,0,80,0
Emeka,Beauvieux,M,406,1015194,SIDNEY,MT,59270,M,N,83000,6.9,0,3800,0
Albrect,Panyam,M,781,1002098,LEEDS,MA,1053,M,N,33000,5.3,0,7150,0
Laird,Banbara,M,203,1001141,HARTFORD,CT,6144,S,Y,38500,5.0,12750,0,0
Plamena,Lazard,M,410,1002248,SNOW HILL,MD,21863,M,N,43500,4.75,0,4800,0
Geraud,Gnutzmann,M,985,1003104,EVANGELINE,LA,70537,M,N,63000,6.0,0,9000,0
Ramiro,Frisberg,F,360,1002017,TACOMA,WA,98412,S,Y,6000,0.0,0,0,0
Michelangelo,Darbha,M,202,1014654,WASHINGTON,DC,20428,M,N,66500,9.0,0,2740,0
Farzin,Bracho,M,203,1003423,SALISBURY,CT,6068,S,Y,84000,5.0,12750,0,0
Irs'hak,Vandervoorde,F,775,1005442,FALLON,NV,89496,S,Y,93500,0.0,0,0,0
Wojceich,Lehar,M,562,1003148,LONG BEACH,CA,90803,M,N,48000,9.3,0,174,0
Heino,Litzler,M,262,1002328,MARSHFIELD,WI,54404,S,Y,11500,4.646218,700,0,400
Shuanghua,Vygen,M,810,1000909,DOWLING,MI,49050,S,Y,95500,3.9,3100,0,3100
Nivio,Balkir,F,281,1000058,FORT STOCKTON,TX,79735,S,N,87500,0.0,0,0,0
Yuko,Ricardo,M,256,1001296,AXIS,AL,36505,S,Y,81000,5.0,1500,0,300
Brindell,Daskalakis,M,406,1009168,GLEN,MT,59732,S,Y,44000,6.9,1900,0,1900
Rajive,Rahola,F,802,1007123,CONCORD,VT,5824,M,N,96000,4.91509,0,6600,0
Mendel,Hirokawa,F,910,1001929,WACO,NC,28169,M,N,74500,7.2954545,0,6600,0
Nobuo,Vigier,M,405,1003217,DOUGLAS,OK,73733,M,N,82500,6.25,0,2000,0
Siddarth,Elihai,M,808,1001309,LAWAI,HI,96765,M,N,40500,8.25,0,2080,0
Brigham,Bod,F,802,1019538,SAINT JOHNSBURY,VT,5819,M,N,57500,4.1491146,0,6600,0
Noela,Gelsey,F,406,1012999,BILLINGS,MT,59105,S,Y,23500,6.9,1900,0,1900
Arjen,Munke,F,540,1001388,MACHIPONGO,VA,23405,M,N,11500,4.276786,0,1800,0
Aju,Imbert,M,208,1001311,MIDDLETON,ID,83644,M,N,63500,7.8,0,6600,0
Ardian,Ventosa,M,401,1007534,FOSTER,RI,2825,S,Y,48000,0.0,0,0,0
Chizuko,Watanabe,F,228,1002092,GUNNISON,MS,38746,M,N,74500,5.0,0,12000,0
Marina,Coggins,M,314,1000713,DORA,MO,65637,S,Y,73500,6.0,2100,0,1200
Hayato,Gammage,F,307,1012038,WAPITI,WY,82450,M,N,55500,0.0,0,0,0
Zahava,Hedges,F,939,1003877,SANTA ISABEL,PR,757,S,Y,30500,0.0,0,0,0
Chaoyi,Mallgren,M,203,1001727,ROCKY HILL,CT,6067,S,Y,64500,5.0,12750,0,0
Kiyomitsu,Giovanetti,M,843,1004325,ROEBUCK,SC,29376,M,N,95500,7.0,0,6600,0
Shaji,Karuno,F,406,1020573,BILLINGS,MT,59104,S,Y,17000,6.9,1900,0,1900
Danny,Greenawalt,F,785,1000729,DOWNS,KS,67437,M,N,79500,6.45,0,4500,0
Seyit,Wuthrich,F,804,1000769,HAYSI,VA,24256,M,N,41500,5.75,0,1800,0
Falguni,Milde,M,208,1000897,RICHFIELD,ID,83349,M,N,81000,7.8,0,6600,0
Morton,Sherrell,M,307,1002766,CHEYENNE,WY,82009,S,Y,30000,0.0,0,0,0
Laila,Binh,F,276,1001181,MC CLURE,VA,24269,S,Y,500,2.0,900,0,900
Shalab,Mamelak,F,423,1004155,CHURCH HILL,TN,37642,M,N,39500,0.0,0,0,0
Cen,Poulakidas,M,205,1003063,BIRMINGHAM,AL,35254,M,N,71500,5.0,0,3000,0
Dhruva,Smaga,M,515,1002448,EARLHAM,IA,50072,M,N,84000,8.98,0,80,0
Jooseok,Negroponte,M,505,1005517,PINON,NM,88344,S,Y,56500,5.3,3300,0,3300
Manel,Serizawa,M,217,1000180,ITASCA,IL,60143,S,Y,71500,3.0,2000,0,2000
Nadia,Krackhardt,M,505,1011158,CLIFF,NM,88028,S,Y,4000,1.7,3300,0,3300
Nora,Basagni,F,402,1004942,AURORA,NE,68818,S,Y,59000,6.84,103,0,103
Cosmin,Prill,F,406,1019093,ELMO,MT,59915,M,N,14500,6.9,0,3800,0
Nevana,Baxter,F,248,1001723,OMENA,MI,49674,M,N,13000,3.9,0,6200,0
Hayri,Ro;dl,F,803,1005822,MC CLELLANVILLE,SC,29458,M,Y,51500,7.0,0,6600,3300
Shivraj,Kotidis,M,432,1000351,HOUSTON,TX,77254,S,Y,68500,0.0,0,0,0
Tanji,Balaji,F,605,1006950,RELIANCE,SD,57569,M,N,91000,0.0,0,0,0
Roderic,Ravishankar,F,702,1002691,LAS VEGAS,NV,89128,M,N,73500,0.0,0,0,0
Asok,Drexl,M,947,1003705,SODUS,MI,49126,M,N,43500,3.9,0,6200,0
Paulis,Bentaleb,F,803,1005352,NINETY SIX,SC,29666,M,N,30500,7.0,0,6600,0
Helen,Nissenbaum,F,641,1004144,GILMAN,IA,50106,M,N,14000,2.3253853,0,80,0
Manoli,Regev,F,606,1002296,MAGNOLIA,KY,42757,S,Y,46500,4.416667,20,0,20
Mandyam,Fortune,M,850,1000780,BROOKSVILLE,FL,34614,M,N,93000,0.0,0,0,0
Sandor,Kane,M,406,1004697,CAPITOL,MT,59319,S,Y,100000,6.9,1900,0,1900
Jerold,Mikulecka,M,860,1008557,GROSVENOR DALE,CT,6246,S,Y,94000,5.0,12750,0,0
Marti,Baatz,M,302,1007309,BEAR,DE,19701,S,Y,57000,5.7454543,110,0,110
Subhankar,Manabe,M,857,1001988,BOYLSTON,MA,1505,S,Y,92000,5.3,3575,0,1000
Dustin,Maxson,F,603,1014751,ORFORD,NH,3777,S,Y,92000,0.0,0,0,0
Carter,Karner,F,414,1002243,ELTON,WI,54430,S,Y,1000,4.6,700,0,400
Suraj,Klawonn,M,319,1000214,TEMPLETON,IA,51463,M,N,20000,3.2516527,0,80,0
Debendra,Huberman,F,406,1003055,ASHLAND,MT,59004,S,Y,4500,2.1189656,1900,0,1900
Kee,Nicaud,M,307,1006255,BEULAH,WY,82712,M,N,9500,0.0,0,0,0
Danil,Walstrom,M,603,1003962,WHITEFIELD,NH,3598,S,Y,74000,0.0,0,0,0
Siegbert,Priest,M,406,1013800,SAND SPRINGS,MT,59077,M,N,77000,6.9,0,3800,0
Hannah,Gischer,F,870,1000274,HARTMAN,AR,72840,S,Y,95000,7.0,20,0,20
Ruiz,Pierro,M,605,1015950,BELLE FOURCHE,SD,57717,M,N,69000,0.0,0,0,0
Bala,Rinn,F,808,1005616,WAKE ISLAND,HI,96898,S,Y,6500,2.2111843,1040,0,1040
Rostam,Ozhan,F,206,1000990,RIVERSIDE,WA,98849,M,N,24000,0.0,0,0,0
Marco,Rudmann,M,562,1002001,FIDDLETOWN,CA,95629,S,Y,23000,4.9380026,87,0,272
Sihem,Huijsmans,M,339,1001420,ROCHESTER,MA,2770,S,Y,18500,5.3,3575,0,1000
Linlin,Angele,F,435,1001052,RANDOLPH,UT,84064,M,N,6000,7.0,0,4950,0
Adarsh,Hammerschmidt,F,302,1010778,NEW CASTLE,DE,19720,M,N,31000,3.9727273,0,220,0
Kave,Gomide,M,540,1000620,CHERITON,VA,23316,M,N,56000,5.75,0,1800,0
Huzefa,Merckt,M,414,1001616,LEOPOLIS,WI,54948,S,Y,94500,6.0883546,700,0,400
Howell,Westmeier,M,208,1014537,PECK,ID,83545,S,Y,38500,7.8,3300,0,3300
Abdur,Riddall,F,262,1000647,STAR PRAIRIE,WI,54026,M,N,18500,4.7678437,0,1400,0
Forest,Rennert,F,860,1000253,GAYLORDSVILLE,CT,6755,M,N,20000,5.0,0,24500,0
Andishe,Deves,F,503,1001629,ELGIN,OR,97827,M,N,15500,9.0,0,318,0
Jaehyung,Rahmat,F,401,1002359,JOHNSTON,RI,2919,M,N,67500,0.0,0,0,0
Jim,Fairtlough,M,651,1002141,SAINT PAUL,MN,55128,M,N,80500,7.85,0,6600,0
Annedore,Maasen,M,304,1004746,ROWLESBURG,WV,26425,M,N,48000,5.66,0,4000,0
Terry,Lomnicki,M,484,1001256,CLAYSVILLE,PA,15323,M,N,36500,3.07,0,0,0
Elin,Wallrath,M,440,1000601,OLMSTED FALLS,OH,44138,S,Y,81000,3.2348104,1300,0,1300
Patricio,Elliman,F,352,1000411,SAINT PETERSBURG,FL,33784,M,N,17000,0.0,0,0,0
Prasad,Lavin,F,443,1003474,SOUTHERN MD FACILITY,MD,20697,S,Y,97500,4.75,2400,0,2400
Seongsoo,Wolz,M,304,1007160,WHITE SULPHUR SPRINGS,WV,24961,M,N,53500,6.045,0,4000,0
Rubens,Bugrara,F,980,1001668,WINGATE,NC,28174,M,N,37500,6.519231,0,6600,0
Padmaja,Seshadri,F,731,1000155,MADISONVILLE,TN,37354,M,N,37000,0.0,0,0,0
Ilja,Godliman,F,304,1015064,PRATT,WV,25162,M,N,88500,6.5,0,4000,0
Vladik,Hadon,F,630,1000650,CARLYLE,IL,62231,S,Y,53000,3.0,2000,0,2000
Pei,Kulisch,M,801,1007453,SALT LAKE CITY,UT,84112,S,Y,80500,7.0,2475,0,2475
Monica,Yoshizawa,M,605,1006786,REVA,SD,57651,S,Y,40500,0.0,0,0,0
Hidehiro,Wenguo,F,405,1002253,TULSA,OK,74117,M,N,500,0.5,0,2000,0
Lokesh,Ridgeway,M,812,1001955,BUFFALO,IN,47925,M,N,20000,3.4,0,2000,0
Sabah,Plaxton,F,907,1003790,CHIGNIK LAKE,AK,99548,M,N,94000,0.0,0,0,0
Yulu,Raeithel,F,406,1001579,LAVINA,MT,59046,M,N,38000,6.9,0,3800,0
Nikunja,Serna,F,856,1000823,CLARKSBORO,NJ,8020,S,Y,68000,2.157,1000,0,1500
Reva,Goke,F,702,1010041,AMARGOSA VALLEY,NV,89020,S,Y,25000,0.0,0,0,0
Bilhanan,Gruenefeldt,F,702,1004142,LAS VEGAS,NV,89157,S,Y,45500,0.0,0,0,0
Xuguang,Korgen,F,802,1008177,NORTHFIELD,VT,5663,M,N,6000,3.6,0,6600,0
Brion,Lanfear,F,586,1002135,ALTO,MI,49302,M,N,89500,3.9,0,6200,0
Lian,Picel,F,801,1003051,ROOSEVELT,UT,84066,M,N,81000,7.0,0,4950,0
Yeogirl,Cranor,F,502,1002567,LOCKPORT,KY,40036,M,N,31000,3.5555556,0,40,0
Clifford,Sadahiro,F,702,1010152,HAWTHORNE,NV,89415,S,Y,1000,0.0,0,0,0
Jaeun,Parfitt,M,307,1017989,COWLEY,WY,82420,M,N,83500,0.0,0,0,0
Shunge,Kaul,F,860,1008083,YANTIC,CT,6389,M,N,10500,5.0,0,24500,0
Avikam,Osberger,F,435,1007022,PROVO,UT,84605,M,N,7500,7.0,0,4950,0
Ramarao,Ferragina,M,302,1012253,WILMINGTON,DE,19803,M,N,17500,3.0522728,0,220,0
Suleyman,Zisapel,F,517,1001667,JACKSON,MI,49203,M,N,61000,3.9,0,6200,0
Zhijun,Boudaillier,F,402,1004546,SAINT LIBORY,NE,68872,M,N,96500,6.84,0,206,0
Marlin,Priestley,F,757,1002583,ARLINGTON,VA,22202,M,N,85000,5.75,0,1800,0
Thierry,Zlatea,M,801,1007226,BLANDING,UT,84511,M,N,67500,7.0,0,4950,0
Carson,Cardazo,F,843,1006180,WILLIAMSTON,SC,29697,S,Y,85000,7.0,3300,0,3300
Sigurdur,Kitsuregawa,M,574,1001750,EVANSVILLE,IN,47747,M,N,12000,3.4,0,2000,0
Birol,Razaz,M,971,1002996,RIVERSIDE,OR,97917,S,Y,13000,9.0,159,0,159
Eliahu,Dratva,M,769,1002426,TUPELO,MS,38804,M,N,90000,5.0,0,12000,0
Asim,Torelli,F,603,1009803,WEST PETERBOROUGH,NH,3468,M,N,44000,0.0,0,0,0
Supratik,Perri,M,517,1003374,TWINING,MI,48766,M,Y,55500,3.9,0,6200,3100
HongJiang,Viehstaedt,F,972,1000996,ALLISON,TX,79003,S,Y,92500,0.0,0,0,0
Nandyala,Lunn,M,563,1001171,DELTA,IA,52550,S,Y,81500,8.98,40,0,40
Unal,Koubarakis,M,623,1002816,PHOENIX,AZ,85038,S,Y,90500,4.11775,2100,0,2300
Yuuichi,Goda,F,516,1001590,TONAWANDA,NY,14151,M,N,52500,4.2577744,0,0,0
Sibsankar,Woeginger,M,605,1000001,LOWER BRULE,SD,57548,S,Y,37000,0.0,0,0,0
Khakhanian,Krybus,M,360,1000800,SEATTLE,WA,98184,S,Y,56500,0.0,0,0,0
Edwige,Siemens,F,978,1001578,WALPOLE,MA,2081,S,Y,38000,5.3,3575,0,1000
Kencheng,Lampen,F,208,1000061,ROGERSON,ID,83302,M,N,57500,7.8,0,6600,0
Efraim,Keates,F,208,1004484,DOWNEY,ID,83234,S,Y,5000,2.6903439,3300,0,3300
Kaihiro,Schulthess,F,606,1000973,LOUISVILLE,KY,40281,M,N,45500,4.361111,0,40,0
Mikael,Heydon,M,630,1000276,BLUFORD,IL,62814,S,Y,85000,3.0,2000,0,2000
Dallan,Aghbari,M,304,1019251,RIDGEVIEW,WV,25169,S,Y,70000,6.5,2000,0,2000
Christiaan,Dilger,M,920,1002300,WISCONSIN RAPIDS,WI,54494,M,N,13000,4.6722803,0,1400,0
Gwenael,Eilenberg,M,918,1001367,BRISTOW,OK,74010,M,N,74500,6.25,0,2000,0
Hiroaki,Anick,F,724,1001472,ROBESONIA,PA,19551,M,N,62500,3.07,0,0,0
Chiang,Ingalls,F,605,1001504,REE HEIGHTS,SD,57371,S,Y,56500,0.0,0,0,0
Kella,Feldmesser,M,413,1002511,BRANT ROCK,MA,2020,S,Y,92500,5.3,3575,0,1000
Sarnath,Gellerich,M,228,1002557,METCALFE,MS,38760,M,N,30000,5.0,0,12000,0
Jiri,Pietak,M,308,1002038,OMAHA,NE,68105,S,Y,98000,6.84,103,0,103
Lakhdar,Murugesan,F,712,1000044,GRIMES,IA,50111,M,N,77000,8.98,0,80,0
Taeho,Marchesini,M,219,1002217,HAMILTON,IN,46742,S,Y,44500,3.4,1000,0,1000
Djemal,Benjauthrit,F,228,1001327,FARRELL,MS,38630,M,N,14000,5.0,0,12000,0
Veikko,Levasseur,M,870,1005277,SHIRLEY,AR,72153,S,Y,72000,7.0,20,0,20
Sukumar,Gerbig,M,603,1001522,MILTON MILLS,NH,3852,S,Y,27500,0.0,0,0,0
Dino,Kalefeld,M,413,1001828,PETERSHAM,MA,1366,M,N,63000,5.3,0,7150,0
Xiaotie,Linares,M,256,1001059,MARGARET,AL,35112,M,N,81000,5.0,0,3000,0
Imsong,Grant,F,601,1002039,JACKSON,MS,39206,M,N,78000,5.0,0,12000,0
Alco,Steffen,F,505,1016492,LLANO,NM,87543,S,Y,77500,5.3,3300,0,3300
Geng,Higashi,F,907,1010478,ALAKANUK,AK,99554,M,N,79000,0.0,0,0,0
Muhsen,Fontaine,M,718,1000827,BYRON,NY,14422,M,N,30500,4.1303353,0,0,0
Gaelle,Rady,F,504,1001175,NEW LLANO,LA,71461,S,Y,36000,6.0,4500,0,1000
Rense,Zaumen,F,206,1000405,BREMERTON,WA,98337,M,N,97000,0.0,0,0,0
Saila,Vrain,F,810,1000639,HOWELL,MI,48855,S,Y,95000,3.9,3100,0,3100
Hwang,Garidis,F,443,1000037,SMITHSBURG,MD,21783,S,Y,82500,4.75,2400,0,2400
Ramiro,Dravida,F,262,1002920,NIAGARA,WI,54151,M,N,64000,5.5584126,0,1400,0
Zhouhui,Rathonyi,F,931,1000199,LA GRANGE,TN,38046,S,Y,69000,0.0,0,0,0
Daigo,D'Amiano,M,606,1003113,ASHLAND,KY,41101,M,N,37000,3.8888888,0,40,0
Yogeesh,Rotics,F,808,1010309,HONOLULU,HI,96827,M,N,47500,8.25,0,2080,0
Nelma,Leherte,F,618,1001098,PEORIA,IL,61601,M,N,77000,3.0,0,4000,0
Edna,Reese,M,915,1000729,MIDLAND,TX,79704,S,Y,66000,0.0,0,0,0
Shoichi,Anido,M,907,1004799,FAIRBANKS,AK,99710,M,N,19000,0.0,0,0,0
Gaylin,Regan,F,703,1000108,HENRICO,VA,23228,S,Y,55000,5.75,900,0,900
Huizhu,Rozen,M,913,1000707,DORRANCE,KS,67634,S,Y,40000,6.45,2250,0,2250
Kohichi,Ducasse,M,253,1002981,OLYMPIA,WA,98512,M,N,33500,0.0,0,0,0
Makram,Pichetti,M,970,1000499,MC COY,CO,80463,M,N,22000,4.63,0,0,0
Vojislav,Bojadziev,F,939,1005905,RINCON,PR,677,S,Y,26000,0.0,0,0,0
Hunter,Felciano,M,435,1006558,HYDE PARK,UT,84318,M,N,12500,7.0,0,4950,0
Bernando,Marandzjan,M,918,1006112,DOUGHERTY,OK,73032,M,N,23500,6.25,0,2000,0
Shiwei,Nuzman,F,207,1005681,WEST MINOT,ME,4288,M,N,16500,7.6697083,0,5700,0
Sanping,Bongartz,M,508,1001877,SOMERVILLE,MA,2144,S,Y,71500,5.3,3575,0,1000
Sathiamoorthy,Gastner,F,252,1002363,STATE ROAD,NC,28676,S,Y,64000,7.075175,3300,0,3300
Mohan,Zahle,F,505,1005818,ALBUQUERQUE,NM,87101,S,Y,23000,5.3,3300,0,3300
Tevfik,Graf,M,808,1003295,MILILANI,HI,96789,S,Y,84000,8.25,1040,0,1040
Slawomir,Lovasz,M,731,1003825,HAMPSHIRE,TN,38461,S,Y,21000,0.0,0,0,0
Zoran,Dunzinger,F,608,1002352,HILLSBORO,WI,54634,M,N,9500,4.6114674,0,1400,0
Hidemitsu,Rase,M,406,1020831,DUTTON,MT,59433,M,N,80500,6.9,0,3800,0
Ronghao,Punnen,M,931,1002415,MIDDLETON,TN,38052,S,Y,2000,0.0,0,0,0
Nematollaah,Donato,M,520,1002641,CHANDLER,AZ,85249,M,N,68500,3.7767498,0,4200,0
Mikey,Pedicini,M,361,1000361,BAYTOWN,TX,77522,M,N,49500,0.0,0,0,0
Gurmeet,Macrosson,M,631,1000559,LAKE HUNTINGTON,NY,12752,S,Y,79000,4.4112806,0,0,1000
Jaswinder,Bhuyan,M,304,1003059,CAMERON,WV,26033,M,N,44500,5.415,0,4000,0
Yossi,Gore,M,908,1001438,MENDHAM,NJ,7945,S,Y,3500,1.4,1000,0,1500
Viljem,Sadowsky,F,702,1006208,RENO,NV,89511,S,Y,93500,0.0,0,0,0
Marzena,Idri,M,605,1018375,SENECA,SD,57473,S,Y,76500,0.0,0,0,0
Nechama,Gram,F,225,1001355,MONTEREY,LA,71354,M,N,100000,6.0,0,9000,0
Wanda,Cronan,F,856,1000235,CAMDEN,NJ,8103,S,N,61000,2.0466042,1000,0,0
Kyosun,Zolla,M,316,1000123,MAPLE CITY,KS,67102,M,Y,81500,6.45,0,4500,2250
Thony,Rollins,M,808,1012242,KEALAKEKUA,HI,96750,M,N,43000,8.25,0,2080,0
Yurdaer,Kang,F,605,1001422,PARMELEE,SD,57566,M,N,93500,0.0,0,0,0
Debaprosad,Grecu,M,918,1003224,CARNEY,OK,74832,S,Y,43500,6.25,1000,0,1000
Mack,Sugiura,M,702,1002057,SLOAN,NV,89054,S,Y,95500,0.0,0,0,0
Vesna,Macnee,F,701,1013575,FARGO,ND,58125,S,Y,66000,2.5207987,3300,0,3300
Dayne,Grun,F,641,1003699,REINBECK,IA,50669,S,Y,82000,8.98,40,0,40
Vhris,Kronert,F,267,1002143,DENVER,PA,17517,S,Y,25500,3.07,0,0,0
Mallory,Schroeder,M,580,1001218,OKLAHOMA CITY,OK,73169,S,Y,7500,4.6527777,1000,0,1000
Lambertus,Chomsky,F,309,1000835,MINERAL,IL,61344,M,N,14000,3.0,0,4000,0
Pranay,Kohen,F,505,1005690,AMALIA,NM,87512,S,Y,97000,5.3,3300,0,3300
Sevki,Farrens,F,605,1015610,ALCESTER,SD,57001,M,N,66000,0.0,0,0,0
Ganapathy,Staab,F,302,1020731,WILMINGTON,DE,19807,M,N,86500,5.95,0,220,0
Bernice,Bocquet,M,435,1001022,JOSEPH,UT,84739,S,Y,68000,7.0,2475,0,2475
Souji,Mikki,M,503,1000038,SWISSHOME,OR,97480,M,N,68500,9.0,0,318,0
Lushen,Wissmann,F,267,1000187,MOUNT HOLLY SPRINGS,PA,17065,M,N,82000,3.07,0,0,0
Quingzhou,Fleischanderl,F,434,1001671,ROANOKE,VA,24155,M,N,64000,5.75,0,1800,0
Belarmino,Bern,M,229,1000598,AUGUSTA,GA,30909,S,Y,25000,6.0,2700,0,3000
Bett,Ianov,M,479,1002544,MORRILTON,AR,72110,S,Y,38500,7.0,20,0,20
Erol,Dai,M,801,1001351,DEWEYVILLE,UT,84309,S,Y,47500,7.0,2475,0,2475
Michi,Babin,F,810,1000451,FERNDALE,MI,48220,M,N,5000,3.9,0,6200,0
Huzefa,Kass,M,208,1007253,BANKS,ID,83602,M,N,80500,7.8,0,6600,0
Weicheng,Fimbel,M,304,1006753,GALLAGHER,WV,25083,S,Y,76000,6.5,2000,0,2000
Lory,Woog,F,702,1004383,GARDNERVILLE,NV,89410,S,Y,75500,0.0,0,0,0
Qingzhou,Mihoubi,M,712,1000870,COIN,IA,51636,S,Y,43500,6.879534,40,0,40
Aamer,Schmitz,M,314,1000184,FORSYTH,MO,65653,S,Y,3500,2.90625,2100,0,1200
Erez,Doggaz,F,860,1008877,STAMFORD,CT,6913,S,Y,47000,5.0,12750,0,0
Zsuzsa,Bellatreche,F,910,1001789,ERWIN,NC,28339,S,Y,43000,6.6346154,3300,0,3300
Elzbieta,Kurakake,M,580,1005117,NOWATA,OK,74048,M,N,61500,6.25,0,2000,0
Kaye,Feber,M,586,1001678,WEST BLOOMFIELD,MI,48323,S,N,30500,3.9,3100,0,0
Gisela,Kouloumdjian,F,775,1001061,EMPIRE,NV,89405,M,N,25000,0.0,0,0,0
Reiji,Tayara,M,918,1006843,YUKON,OK,73099,S,Y,18000,6.25,1000,0,1000
Guoren,Muluszynski,M,361,1001425,HOUSTON,TX,77030,S,Y,46000,0.0,0,0,0
Asher,Hasida,M,304,1012942,LOST CITY,WV,26810,S,Y,16500,3.455,2000,0,2000
Sitvanit,Lawry,F,304,1001260,CHARLESTON,WV,25389,S,Y,98500,6.5,2000,0,2000
Yogendra,Kuninobu,M,620,1001675,WICHITA,KS,67201,M,N,6500,3.5,0,4500,0
Kyuchul,Baur,M,301,1000405,STILL POND,MD,21667,S,Y,72000,4.75,2400,0,2400
Brinkley,Moshiri,F,563,1002713,CHESTER,IA,52134,M,N,16500,2.7113304,0,80,0
Hilding,Nykanen,M,505,1006788,LUNA,NM,87824,M,Y,85000,5.3,0,6600,3300
Jorge,Occello,F,864,1002743,EASLEY,SC,29640,M,N,29000,7.0,0,6600,0
Aristid,Roura,M,731,1002300,JOHNSON CITY,TN,37615,S,Y,10000,0.0,0,0,0
Idit,Szablak,F,907,1008079,PEDRO BAY,AK,99647,M,N,5500,0.0,0,0,0
Wolffried,Cusick,F,302,1009533,NASSAU,DE,19969,S,Y,74500,5.95,110,0,110
Pramode,Datwyler,F,210,1000734,GRANDVIEW,TX,76050,S,Y,39500,0.0,0,0,0
Poorani,Gaubert,F,612,1002128,AVON,MN,56310,S,Y,49000,6.8702774,3300,0,3300
Alejandro,Gillo,M,662,1003339,NEW SITE,MS,38859,S,Y,72500,5.0,6000,0,1500
Mabo,Guardabassi,M,435,1002681,STOCKTON,UT,84071,M,N,7000,7.0,0,4950,0
Sahrah,Karner,M,939,1009845,PONCE,PR,732,S,Y,25500,0.0,0,0,0
Hoa,Rios,F,603,1004185,CANAAN,NH,3741,S,Y,32000,0.0,0,0,0
Sajal,Clonts,F,914,1000272,ELLENBURG DEPOT,NY,12935,S,Y,13500,4.03186,0,0,1000
Zdislav,Schkolnick,F,848,1001378,AUDUBON,NJ,8106,S,Y,2500,1.4,1000,0,1500
Azriel,Parmelee,F,815,1001152,ORLAND PARK,IL,60467,M,N,41000,3.0,0,4000,0
Tomoaki,Sutre,F,620,1003741,OVERLAND PARK,KS,66223,S,Y,39500,6.45,2250,0,2250
Katsuji,Kleinman,M,202,1005987,WASHINGTON,DC,20052,S,Y,72000,9.0,1370,0,1370
Kamil,Kuester,M,928,1002938,APACHE JUNCTION,AZ,85119,S,Y,42000,3.366,2100,0,2300
Mudita,Gurla,F,720,1001453,MONTROSE,CO,81401,S,N,72500,4.63,0,0,0
Narisa,Bergman,F,787,1002851,GARROCHALES,PR,652,S,Y,12000,0.0,0,0,0
Peiyti,Pangrle,M,859,1000869,BEAUTY,KY,41203,M,N,45000,4.333333,0,40,0
Quing,Luan,F,402,1005325,WINNETOON,NE,68789,S,Y,91500,6.84,103,0,103
Jonna,Tsigas,M,843,1001458,ELKO,SC,29826,S,Y,60000,7.0,3300,0,3300
Juliana,Seguel,M,405,1004028,BROKEN ARROW,OK,74011,M,N,48500,6.25,0,2000,0
Balasubramaniam,Coullard,F,662,1003969,PHILIPP,MS,38950,M,N,57000,5.0,0,12000,0
Ubirajara,Buchberger,F,661,1000258,BELDEN,CA,95915,M,N,73500,9.3,0,174,0
Pin,Hohler,M,701,1013827,CHRISTINE,ND,58015,M,N,88000,2.7758281,0,6600,0
Shepherd,Noordermeer,F,586,1001023,LAKE GEORGE,MI,48633,S,Y,51000,3.9,3100,0,3100
Gul,Maksimenko,F,787,1004190,RINCON,PR,677,S,Y,71500,0.0,0,0,0
